cve_ent,nom_ent,cve_mun,nom_mun,cvegeo,cve_ageb,pobreza,pobreza_ext
21,Puebla,21001,Acajete,2100100330601,0601,"(70, 100)","(0, 20)"
21,Puebla,21001,Acajete,2100100330616,0616,"(70, 100)","(0, 20)"
21,Puebla,21015,Amozoc,2101500010113,0113,"(50, 70)","(0, 20)"
21,Puebla,21015,Amozoc,2101500010128,0128,"(70, 100)","(20, 50)"
21,Puebla,21015,Amozoc,2101500010132,0132,"(50, 70)","(0, 20)"
21,Puebla,21015,Amozoc,2101500010147,0147,"(50, 70)","(0, 20)"
21,Puebla,21015,Amozoc,2101500010151,0151,"(50, 70)","(0, 20)"
21,Puebla,21015,Amozoc,2101500010166,0166,"(50, 70)","(0, 20)"
21,Puebla,21015,Amozoc,2101500010185,0185,"(18, 34)","(0, 20)"
21,Puebla,21015,Amozoc,210150001019A,019A,"(50, 70)","(0, 20)"
21,Puebla,21015,Amozoc,2101500010217,0217,"(50, 70)","(0, 20)"
21,Puebla,21015,Amozoc,2101500010221,0221,"(50, 70)","(0, 20)"
21,Puebla,21015,Amozoc,2101500010236,0236,"(34, 50)","(0, 20)"
21,Puebla,21015,Amozoc,2101500010240,0240,"(50, 70)","(0, 20)"
21,Puebla,21015,Amozoc,2101500010255,0255,"(70, 100)","(20, 50)"
21,Puebla,21015,Amozoc,210150001026A,026A,"(50, 70)","(0, 20)"
